"minute","second","possession","duration","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","shot.statsbomb_xg","shot.saved_off_target","shot.aerial_won","shot.one_on_one","shot.deflected","shot.first_time","shot.redirect","shot.technique.id","shot.technique.name","shot.body_part.id","shot.body_part.name","shot.type.id","shot.type.name","shot.outcome.id","shot.outcome.name","match_id","location_x","location_y"
57,18,108,"0.249235",NA,772,"Spain",3,"From Free Kick",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing","0.042338703",NA,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",62,"Free Kick",96,"Blocked",3930160,"91.3","45.4"
73,13,135,"0.039391",NA,772,"Spain",1,"Regular Play",772,"Spain",16532,"Daniel Olmo Carvajal",21,"Left Wing","0.027441183",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3930160,"93.9","39"
79,3,147,"0.315202",NA,785,"Croatia",5,"Other",785,"Croatia",7693,"Bruno Petković",23,"Center Forward","0.7835",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",88,"Penalty",100,"Saved",3930160,"108","40"
83,45,154,"0.135946",NA,785,"Croatia",4,"From Throw In",785,"Croatia",5474,"Ivan Perišić",21,"Left Wing","0.035310246000000003",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3930160,"101.4","28.7"
83,54,154,"1.070712",NA,785,"Croatia",4,"From Throw In",785,"Croatia",5474,"Ivan Perišić",21,"Left Wing","0.006942888",NA,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",100,"Saved",3930160,"87.3","24.7"
87,53,159,"0.073768",TRUE,772,"Spain",1,"Regular Play",772,"Spain",6748,"Ferrán Torres García",17,"Right Wing","0.012741043",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3930160,"109.6","57.8"
91,49,162,"1.123002",TRUE,785,"Croatia",3,"From Free Kick",785,"Croatia",5474,"Ivan Perišić",21,"Left Wing","0.019089911",NA,TRUE,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",98,"Off T",3930160,"107.8","27.5"
11,13,21,"0.050041",TRUE,772,"Spain",3,"From Free Kick",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing","0.06802966",NA,NA,TRUE,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",96,"Blocked",3943043,"115.6","28.4"
12,21,22,"1.072991",TRUE,772,"Spain",2,"From Corner",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back","0.11746518",NA,NA,NA,NA,TRUE,NA,94,"Overhead Kick",40,"Right Foot",87,"Open Play",98,"Off T",3943043,"112.9","36.2"
16,20,27,"0.076667",TRUE,768,"England",2,"From Corner",768,"England",3943,"Declan Rice",11,"Left Defensive Midfield","0.0489952",NA,NA,NA,NA,TRUE,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3943043,"96.2","40.8"
